Sensor,Time Point,value
DC21410602,2022-01-01 05:00:00,
DC21410602,2022-01-01 06:00:00,
DC21410602,2022-01-01 07:00:00,
DC21410602,2022-01-01 08:00:00,
DC21410602,2022-01-01 09:00:00,
DC21410602,2022-01-01 10:00:00,
DC21410602,2022-01-01 11:00:00,
DC21410602,2022-01-01 12:00:00,
DC21410602,2022-01-01 13:00:00,
DC21410602,2022-01-01 14:00:00,
DC21410602,2022-01-01 15:00:00,
DC21410602,2022-01-01 16:00:00,
DC21410602,2022-01-01 17:00:00,
DC21410602,2022-01-01 18:00:00,
DC21410602,2022-01-01 19:00:00,
DC21410602,2022-01-01 20:00:00,
DC21410602,2022-01-01 21:00:00,
DC21410602,2022-01-01 22:00:00,
DC21410602,2022-01-01 23:00:00,
DC21410602,2022-01-02 00:00:00,
DC21410602,2022-01-02 01:00:00,
DC21410602,2022-01-02 02:00:00,
DC21410602,2022-01-02 03:00:00,
DC21410602,2022-01-02 04:00:00,
DC21410602,2022-01-02 05:00:00,
DC21410602,2022-01-02 06:00:00,
DC21410602,2022-01-02 07:00:00,
DC21410602,2022-01-02 08:00:00,
DC21410602,2022-01-02 09:00:00,
DC21410602,2022-01-02 10:00:00,
DC21410602,2022-01-02 11:00:00,
DC21410602,2022-01-02 12:00:00,
DC21410602,2022-01-02 13:00:00,
DC21410602,2022-01-02 14:00:00,
DC21410602,2022-01-02 15:00:00,
DC21410602,2022-01-02 16:00:00,
DC21410602,2022-01-02 17:00:00,
DC21410602,2022-01-02 18:00:00,
DC21410602,2022-01-02 19:00:00,
DC21410602,2022-01-02 20:00:00,
DC21410602,2022-01-02 21:00:00,
DC21410602,2022-01-02 22:00:00,
DC21410602,2022-01-02 23:00:00,
DC21410602,2022-01-03 00:00:00,
DC21410602,2022-01-03 01:00:00,
DC21410602,2022-01-03 02:00:00,
DC21410602,2022-01-03 03:00:00,
DC21410602,2022-01-03 04:00:00,
DC21410602,2022-01-03 05:00:00,
DC21410602,2022-01-03 06:00:00,
DC21410602,2022-01-03 07:00:00,
DC21410602,2022-01-03 08:00:00,
DC21410602,2022-01-03 09:00:00,
DC21410602,2022-01-03 10:00:00,
DC21410602,2022-01-03 11:00:00,
DC21410602,2022-01-03 12:00:00,33.35
DC21410602,2022-01-03 13:00:00,32.75
DC21410602,2022-01-03 14:00:00,31.59
DC21410602,2022-01-03 15:00:00,30.37
DC21410602,2022-01-03 16:00:00,29.4
DC21410602,2022-01-03 17:00:00,28.91
DC21410602,2022-01-03 18:00:00,28.53
DC21410602,2022-01-03 19:00:00,27.92
DC21410602,2022-01-03 20:00:00,27.55
DC21410602,2022-01-03 21:00:00,27.24
DC21410602,2022-01-03 22:00:00,26.64
DC21410602,2022-01-03 23:00:00,26.39
DC21410602,2022-01-04 00:00:00,26.06
DC21410602,2022-01-04 01:00:00,25.59
DC21410602,2022-01-04 02:00:00,25.41
DC21410602,2022-01-04 03:00:00,25.09
DC21410602,2022-01-04 04:00:00,24.72
DC21410602,2022-01-04 05:00:00,24.96
DC21410602,2022-01-04 06:00:00,24.77
DC21410602,2022-01-04 07:00:00,24.64
DC21410602,2022-01-04 08:00:00,24.48
DC21410602,2022-01-04 09:00:00,24.25
DC21410602,2022-01-04 10:00:00,23.88
DC21410602,2022-01-04 11:00:00,23.61
DC21410602,2022-01-04 12:00:00,23.33
DC21410602,2022-01-04 13:00:00,23.05
DC21410602,2022-01-04 14:00:00,23.0
DC21410602,2022-01-04 15:00:00,22.99
DC21410602,2022-01-04 16:00:00,23.01
DC21410602,2022-01-04 17:00:00,23.14
DC21410602,2022-01-04 18:00:00,23.28
DC21410602,2022-01-04 19:00:00,23.46
DC21410602,2022-01-04 20:00:00,23.71
DC21410602,2022-01-04 21:00:00,23.81
DC21410602,2022-01-04 22:00:00,23.78
DC21410602,2022-01-04 23:00:00,23.75
DC21410602,2022-01-05 00:00:00,23.69
DC21410602,2022-01-05 01:00:00,23.72
DC21410602,2022-01-05 02:00:00,23.83
DC21410602,2022-01-05 03:00:00,23.88
DC21410602,2022-01-05 04:00:00,24.03
DC21410602,2022-01-05 05:00:00,24.46
DC21410602,2022-01-05 06:00:00,24.59
DC21410602,2022-01-05 07:00:00,24.78
DC21410602,2022-01-05 08:00:00,24.78
DC21410602,2022-01-05 09:00:00,24.64
DC21410602,2022-01-05 10:00:00,24.53
DC21410602,2022-01-05 11:00:00,24.6
DC21410602,2022-01-05 12:00:00,24.64
DC21410602,2022-01-05 13:00:00,24.78
DC21410602,2022-01-05 14:00:00,24.97
DC21410602,2022-01-05 15:00:00,25.18
DC21410602,2022-01-05 16:00:00,25.42
DC21410602,2022-01-05 17:00:00,25.74
DC21410602,2022-01-05 18:00:00,26.11
DC21410602,2022-01-05 19:00:00,26.48
DC21410602,2022-01-05 20:00:00,26.63
DC21410602,2022-01-05 21:00:00,26.92
DC21410602,2022-01-05 22:00:00,27.03
DC21410602,2022-01-05 23:00:00,27.12
DC21410602,2022-01-06 00:00:00,27.24
DC21410602,2022-01-06 01:00:00,27.31
DC21410602,2022-01-06 02:00:00,27.38
DC21410602,2022-01-06 03:00:00,27.43
DC21410602,2022-01-06 04:00:00,27.47
DC21410602,2022-01-06 05:00:00,27.43
DC21410602,2022-01-06 06:00:00,26.12
DC21410602,2022-01-06 07:00:00,25.36
DC21410602,2022-01-06 08:00:00,24.64
DC21410602,2022-01-06 09:00:00,24.14
DC21410602,2022-01-06 10:00:00,23.71
DC21410602,2022-01-06 11:00:00,23.3
DC21410602,2022-01-06 12:00:00,22.92
DC21410602,2022-01-06 13:00:00,22.57
DC21410602,2022-01-06 14:00:00,22.18
DC21410602,2022-01-06 15:00:00,21.87
DC21410602,2022-01-06 16:00:00,21.58
DC21410602,2022-01-06 17:00:00,21.35
DC21410602,2022-01-06 18:00:00,21.23
DC21410602,2022-01-06 19:00:00,21.14
DC21410602,2022-01-06 20:00:00,21.36
DC21410602,2022-01-06 21:00:00,21.48
DC21410602,2022-01-06 22:00:00,21.51
DC21410602,2022-01-06 23:00:00,21.44
DC21410602,2022-01-07 00:00:00,21.11
DC21410602,2022-01-07 01:00:00,21.26
DC21410602,2022-01-07 02:00:00,21.78
DC21410602,2022-01-07 03:00:00,22.43
DC21410602,2022-01-07 04:00:00,22.93
DC21410602,2022-01-07 05:00:00,23.65
DC21410602,2022-01-07 06:00:00,23.44
DC21410602,2022-01-07 07:00:00,22.84
