Sensor,Time Point,value
DC21410602,2022-01-01 05:00:00,
DC21410602,2022-01-01 06:00:00,
DC21410602,2022-01-01 07:00:00,
DC21410602,2022-01-01 08:00:00,
DC21410602,2022-01-01 09:00:00,
DC21410602,2022-01-01 10:00:00,
DC21410602,2022-01-01 11:00:00,
DC21410602,2022-01-01 12:00:00,
DC21410602,2022-01-01 13:00:00,
DC21410602,2022-01-01 14:00:00,
DC21410602,2022-01-01 15:00:00,
DC21410602,2022-01-01 16:00:00,
DC21410602,2022-01-01 17:00:00,
DC21410602,2022-01-01 18:00:00,
DC21410602,2022-01-01 19:00:00,
DC21410602,2022-01-01 20:00:00,
DC21410602,2022-01-01 21:00:00,
DC21410602,2022-01-01 22:00:00,
DC21410602,2022-01-01 23:00:00,
DC21410602,2022-01-02 00:00:00,
DC21410602,2022-01-02 01:00:00,
DC21410602,2022-01-02 02:00:00,
DC21410602,2022-01-02 03:00:00,
DC21410602,2022-01-02 04:00:00,
DC21410602,2022-01-02 05:00:00,
DC21410602,2022-01-02 06:00:00,
DC21410602,2022-01-02 07:00:00,
DC21410602,2022-01-02 08:00:00,
DC21410602,2022-01-02 09:00:00,
DC21410602,2022-01-02 10:00:00,
DC21410602,2022-01-02 11:00:00,
DC21410602,2022-01-02 12:00:00,
DC21410602,2022-01-02 13:00:00,
DC21410602,2022-01-02 14:00:00,
DC21410602,2022-01-02 15:00:00,
DC21410602,2022-01-02 16:00:00,
DC21410602,2022-01-02 17:00:00,
DC21410602,2022-01-02 18:00:00,
DC21410602,2022-01-02 19:00:00,
DC21410602,2022-01-02 20:00:00,
DC21410602,2022-01-02 21:00:00,
DC21410602,2022-01-02 22:00:00,
DC21410602,2022-01-02 23:00:00,
DC21410602,2022-01-03 00:00:00,
DC21410602,2022-01-03 01:00:00,
DC21410602,2022-01-03 02:00:00,
DC21410602,2022-01-03 03:00:00,
DC21410602,2022-01-03 04:00:00,
DC21410602,2022-01-03 05:00:00,
DC21410602,2022-01-03 06:00:00,
DC21410602,2022-01-03 07:00:00,
DC21410602,2022-01-03 08:00:00,
DC21410602,2022-01-03 09:00:00,
DC21410602,2022-01-03 10:00:00,
DC21410602,2022-01-03 11:00:00,
DC21410602,2022-01-03 12:00:00,19.42
DC21410602,2022-01-03 13:00:00,15.27
DC21410602,2022-01-03 14:00:00,6.71
DC21410602,2022-01-03 15:00:00,6.89
DC21410602,2022-01-03 16:00:00,7.6
DC21410602,2022-01-03 17:00:00,10.82
DC21410602,2022-01-03 18:00:00,13.9
DC21410602,2022-01-03 19:00:00,10.82
DC21410602,2022-01-03 20:00:00,11.15
DC21410602,2022-01-03 21:00:00,9.53
DC21410602,2022-01-03 22:00:00,8.65
DC21410602,2022-01-03 23:00:00,11.48
DC21410602,2022-01-04 00:00:00,7.53
DC21410602,2022-01-04 01:00:00,7.2
DC21410602,2022-01-04 02:00:00,7.48
DC21410602,2022-01-04 03:00:00,7.75
DC21410602,2022-01-04 04:00:00,9.78
DC21410602,2022-01-04 05:00:00,21.97
DC21410602,2022-01-04 06:00:00,13.42
DC21410602,2022-01-04 07:00:00,60.81
DC21410602,2022-01-04 08:00:00,102.1
DC21410602,2022-01-04 09:00:00,98.55
DC21410602,2022-01-04 10:00:00,79.91
DC21410602,2022-01-04 11:00:00,74.98
DC21410602,2022-01-04 12:00:00,76.45
DC21410602,2022-01-04 13:00:00,70.13
DC21410602,2022-01-04 14:00:00,66.77
DC21410602,2022-01-04 15:00:00,84.24
DC21410602,2022-01-04 16:00:00,87.4
DC21410602,2022-01-04 17:00:00,79.61
DC21410602,2022-01-04 18:00:00,70.05
DC21410602,2022-01-04 19:00:00,69.27
DC21410602,2022-01-04 20:00:00,81.21
DC21410602,2022-01-04 21:00:00,90.49
DC21410602,2022-01-04 22:00:00,87.92
DC21410602,2022-01-04 23:00:00,72.15
DC21410602,2022-01-05 00:00:00,63.24
DC21410602,2022-01-05 01:00:00,58.61
DC21410602,2022-01-05 02:00:00,59.31
DC21410602,2022-01-05 03:00:00,49.55
DC21410602,2022-01-05 04:00:00,51.17
DC21410602,2022-01-05 05:00:00,58.8
DC21410602,2022-01-05 06:00:00,52.41
DC21410602,2022-01-05 07:00:00,78.59
DC21410602,2022-01-05 08:00:00,116.56
DC21410602,2022-01-05 09:00:00,94.31
DC21410602,2022-01-05 10:00:00,98.55
DC21410602,2022-01-05 11:00:00,105.04
DC21410602,2022-01-05 12:00:00,100.48
DC21410602,2022-01-05 13:00:00,104.68
DC21410602,2022-01-05 14:00:00,120.61
DC21410602,2022-01-05 15:00:00,130.16
DC21410602,2022-01-05 16:00:00,136.5
DC21410602,2022-01-05 17:00:00,132.38
DC21410602,2022-01-05 18:00:00,131.71
DC21410602,2022-01-05 19:00:00,133.13
DC21410602,2022-01-05 20:00:00,138.38
DC21410602,2022-01-05 21:00:00,135.32
DC21410602,2022-01-05 22:00:00,132.6
DC21410602,2022-01-05 23:00:00,136.61
DC21410602,2022-01-06 00:00:00,137.83
DC21410602,2022-01-06 01:00:00,140.64
DC21410602,2022-01-06 02:00:00,136.07
DC21410602,2022-01-06 03:00:00,130.06
DC21410602,2022-01-06 04:00:00,126.58
DC21410602,2022-01-06 05:00:00,123.16
DC21410602,2022-01-06 06:00:00,100.64
DC21410602,2022-01-06 07:00:00,103.85
DC21410602,2022-01-06 08:00:00,115.9
DC21410602,2022-01-06 09:00:00,130.32
DC21410602,2022-01-06 10:00:00,126.73
DC21410602,2022-01-06 11:00:00,100.07
DC21410602,2022-01-06 12:00:00,90.96
DC21410602,2022-01-06 13:00:00,88.16
DC21410602,2022-01-06 14:00:00,80.8
DC21410602,2022-01-06 15:00:00,82.61
DC21410602,2022-01-06 16:00:00,77.82
DC21410602,2022-01-06 17:00:00,63.56
DC21410602,2022-01-06 18:00:00,52.7
DC21410602,2022-01-06 19:00:00,47.7
DC21410602,2022-01-06 20:00:00,57.32
DC21410602,2022-01-06 21:00:00,55.02
DC21410602,2022-01-06 22:00:00,47.8
DC21410602,2022-01-06 23:00:00,44.05
DC21410602,2022-01-07 00:00:00,31.97
DC21410602,2022-01-07 01:00:00,26.68
DC21410602,2022-01-07 02:00:00,33.13
DC21410602,2022-01-07 03:00:00,35.0
DC21410602,2022-01-07 04:00:00,37.11
DC21410602,2022-01-07 05:00:00,52.9
DC21410602,2022-01-07 06:00:00,37.14
DC21410602,2022-01-07 07:00:00,40.75
